Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Dave,Comedy,Donner/Shuler-Donner Productions,USA,English,1993,"
					
					110 mins",3.41,"22,449 ratings",56 fans,"41,278 members","8,042 lists","7,020 members"
Aavesham,Comedy,Anwar Rasheed Entertainments,India,Malayalam,2024,"
					
					158 mins",3.8,"22,377 ratings",137 fans,"25,423 members","2,691 lists","12,577 members"
Bait,Drama,Early Day Films,UK,English,2019,"
					
					89 mins",3.83,"13,830 ratings",137 fans,"18,004 members","7,118 lists","5,468 members"
D2: The Mighty Ducks,Action,Avnet/Kerner Productions,USA,English,1994,"
					
					106 mins",3.08,"28,275 ratings",209 fans,"60,862 members","7,225 lists","8,063 members"
War Machine,Drama,Plan B Entertainment,USA,English,2017,"
					
					122 mins",2.64,"27,899 ratings",5 fans,"42,363 members","5,137 lists","3,286 members"
Diary of a Wimpy Kid,Family,Walt Disney Pictures,Canada,English,2021,"
					
					58 mins",2.04,"24,254 ratings",7 fans,"32,385 members","8,063 lists","2,454 members"
Matador,Thriller,Compañía Iberoamericana de TV,Spain,Spanish,1986,"
					
					105 mins",3.56,"12,381 ratings",48 fans,"19,805 members","8,341 lists","4,264 members"
Still Life,Drama,Shanghai Film Studio,China,Chinese,2006,"
					
					108 mins",3.93,"10,512 ratings",111 fans,"16,140 members","10,051 lists","4,315 members"
Family Guy Presents: Blue Harvest,TV Movie,Fuzzy Door Productions,USA,English,2007,"
					
					47 mins",3.43,"30,193 ratings",46 fans,"65,803 members","3,939 lists","8,843 members"
The Beta Test,Horror,Vanishing Angle,UK,English,2021,"
					
					93 mins",3.29,"16,161 ratings",6 fans,"20,131 members","7,168 lists","4,747 members"
Duplex,Comedy,Miramax,Germany,English,2003,"
					
					89 mins",2.75,"29,053 ratings",11 fans,"59,697 members","4,318 lists","5,255 members"
Never Back Down,Drama,Summit Entertainment,USA,English,2008,"
					
					115 mins",2.86,"29,835 ratings",323 fans,"50,494 members","4,625 lists","6,943 members"
The Murmuring,Horror,,USA,English,2022,"
					
					65 mins",3.31,"22,307 ratings",3 fans,"29,486 members","5,919 lists","6,300 members"
Children Who Chase Lost Voices,Animation,CoMix Wave Films,Japan,Japanese,2011,"
					
					116 mins",3.37,"16,672 ratings",81 fans,"26,169 members","6,958 lists","4,696 members"
Stuart: A Life Backwards,Drama,BBC,UK,English,2007,"
					
					92 mins",3.73,"12,077 ratings",191 fans,"17,487 members","3,701 lists","4,999 members"
The Bank Job,Drama,Omnilab Media,Australia,English,2008,"
					
					112 mins",3.21,"28,092 ratings",6 fans,"49,980 members","6,133 lists","4,938 members"
Castle Freak,Drama,Full Moon Entertainment,USA,English,1995,"
					
					90 mins",3.1,"16,899 ratings",21 fans,"22,851 members","9,303 lists","5,283 members"
Sudden Impact,Thriller,Warner Bros. Pictures,USA,English,1983,"
					
					117 mins",3.28,"20,358 ratings",7 fans,"33,834 members","10,519 lists","5,732 members"
