Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
Promising Young Woman,Crime,LuckyChap Entertainment,USA,English,2020,3.67,577240,5600,766990,136180,225969,113
Legally Blonde,Romance,Metro-Goldwyn-Mayer,USA,English,2001,3.78,666834,12000,1255458,131387,341623,96
All Quiet on the Western Front,Action,Amusement Park Films,Germany,German,2022,3.99,584369,4700,724431,126230,214007,147
Cars,Adventure,Pixar,USA,English,2006,3.69,807074,14000,1649047,130169,315913,117
mother!,Drama,Paramount,USA,English,2017,3.47,564667,7700,815832,141908,213999,121
The Hangover,Comedy,Legendary Pictures,USA,English,2009,3.6,809090,5500,1520733,90100,314521,100
How to Train Your Dragon,Fantasy,DreamWorks Animation,USA,English,2010,4.02,780746,18000,1536619,127207,389190,98
The Killer,Thriller,Netflix,USA,English,2023,3.41,555388,467,656712,147253,157730,118
City of God,Drama,O2 Filmes,Brazil,Portuguese,2002,4.52,525446,31000,750855,153112,295680,130
Pan’s Labyrinth,War,Estudios Picasso,Mexico,Spanish,2006,4.16,603867,18000,1019024,177026,333384,118
When Harry Met Sally…,Drama,Castle Rock Entertainment,USA,English,1989,4.05,512321,24000,805282,170314,270016,96
"Crazy, Stupid, Love.",Comedy,Warner Bros. Pictures,USA,English,2011,3.65,666116,4700,1094020,113344,281532,118
Shaun of the Dead,Comedy,Big Talk Studios,UK,English,2004,3.97,697934,9200,1143190,168220,367875,99
One Flew Over the Cuckoo’s Nest,Drama,Fantasy Films,USA,English,1975,4.36,550578,14000,889197,162065,285758,133
E.T. the Extra-Terrestrial,Science Fiction,Universal Pictures,USA,English,1982,3.85,701769,5500,1524825,163384,320353,115
May December,Drama,Gloria Sanchez Productions,USA,English,2023,3.71,464016,663,554382,132767,140306,117
Ocean’s Eleven,Thriller,Warner Bros. Pictures,USA,English,2001,3.89,668128,9800,1189440,108420,304931,116
Corpse Bride,Animation,Tim Burton Productions,UK,English,2005,3.81,673341,14000,1246427,142960,364614,77
The Sixth Sense,Thriller,Spyglass Entertainment,USA,English,1999,4.02,631569,4400,1129502,142113,293325,107
Cruella,Comedy,Walt Disney Pictures,USA,English,2021,3.44,688549,3900,1025457,95336,260876,134
La Haine,Drama,Kasso Productions,France,French,1995,4.51,443359,40000,592904,145679,257421,98
A Star Is Born,Music,Warner Bros. Pictures,USA,English,2018,3.61,693814,3700,1129973,117162,265279,136
The Exorcist,Thriller,Hoya Productions,USA,English,1973,3.99,577477,8100,955415,197766,258827,122
The Black Phone,Thriller,Universal Pictures,USA,English,2021,3.25,631294,2100,796041,113244,200257,103
Kiki’s Delivery Service,Family,Studio Ghibli,Japan,Japanese,1989,4.13,576689,16000,917859,164979,344013,103
The Big Short,Drama,Paramount,USA,English,2015,3.82,635530,4600,979348,94822,243281,131
All of Us Strangers,Romance,Film4 Productions,UK,English,2023,3.94,406242,6800,469509,106202,167301,106
Annihilation,Horror,Paramount,UK,English,2018,3.57,633283,5900,929506,146255,248144,115
Kung Fu Panda,Comedy,DreamWorks Animation,USA,English,2008,3.85,761114,5200,1574952,101203,324685,90
Wonder Woman,Action,Atlas Entertainment,USA,English,2017,3.27,804737,1600,1456328,134356,288526,141
Train to Busan,Adventure,Next Entertainment World,South Korea,Korean,2016,3.95,616608,5400,899416,136893,284782,118
Manchester by the Sea,Drama,Pearl Street Films,USA,English,2016,4.11,502708,13000,719332,125285,223528,138
The Imitation Game,Drama,Bristol Automotive,USA,English,2014,3.8,692643,4400,1196730,82522,291566,113
The Hunger Games: Mockingjay – Part 2,Adventure,Lionsgate,Germany,English,2015,3.29,723460,1200,1359358,82287,240258,137
Heat,Crime,Warner Bros. Pictures,USA,English,1995,4.27,529333,17000,740006,164369,255840,170
Ponyo,Family,Studio Ghibli,Japan,Japanese,2008,4.05,580880,17000,942940,147597,330666,100
Before Sunset,Drama,Warner Independent Pictures,USA,English,2004,4.34,454173,18000,659544,158383,256819,80
Full Metal Jacket,Drama,Natant,UK,English,1987,4.2,572390,6600,898741,152825,275450,117
The Fabelmans,Drama,Amblin Entertainment,USA,English,2022,4.01,437757,3400,530805,175217,189316,151
Venom,Science Fiction,Matt Tolmach Productions,China,English,2018,2.84,765952,1800,1264039,104715,220398,112
Beetlejuice,Fantasy,Warner Bros. Pictures,USA,English,1988,3.77,588124,8700,1064303,153299,316509,92
The Amazing Spider-Man 2,Action,Columbia Pictures,USA,English,2014,2.91,742261,3100,1393659,152447,233053,141
Toy Story 4,Adventure,Walt Disney Pictures,USA,English,2019,3.42,718360,390,1303711,144238,233953,100
Chungking Express,Comedy,Jet Tone Production,Hong Kong,Cantonese,1994,4.3,397809,29000,538496,162023,237699,103
Casablanca,Drama,Warner Bros. Pictures,USA,English,1942,4.27,440607,13000,719321,182656,227558,102
Stand by Me,Drama,Columbia Pictures,USA,English,1986,4.15,529418,20000,827786,147944,287197,89
Free Guy,Adventure,Berlanti Productions,USA,English,2021,3.04,681851,1000,988535,86853,200888,115
Easy A,Comedy,Screen Gems,USA,English,2010,3.42,642893,3700,1212816,106995,265335,93
